직방 매물번호,연락처,이메일,부동산,보증금,월세
3467204.0,010-4780-3740,서울특별시 강남구 논현1동 124-33,TODAY공인중개사(이인규),1000.0,100.0
3150497.0,010-4780-3740,서울특별시 강남구 논현1동 124-33,TODAY공인중개사(이인규),11000.0,60.0
3440906.0,010-9134-5291,서울특별시 강남구 신사동 610-2 1층,열린공인중개사(강광수),5000.0,65.0
3376834.0,010-4166-1970,서울특별시 강남구 논현동 108 웰스톤상가 B101,미래공인중개사(김유철),3000.0,95.0
3331511.0,010-3015-2251,서울특별시 강남구 역삼동 696-10 1층,한백부동산공인중개사(김남조),110.0,110.0
3373198.0,010-3907-0404,서울특별시 강남구 삼성동 34-33,강남코리아공인중개사(기숙영),15000.0,70.0
3376434.0,010-9134-5291,서울특별시 강남구 신사동 610-2 1층,열린공인중개사(강광수),1000.0,85.0
3322860.0,010-8574-7863,"서울특별시 서초구 강남대로 545-4 , 1층 (반포동)",한강공인중개사(김상헌),1000.0,80.0
3303061.0,010-4348-1202,서울특별시 강남구 논현동 193-39,동하공인중개사(임성우),1000.0,60.0
3262172.0,010-8626-8554,"서울특별시 강남구 논현로 111길 14, 1층(논현동)",스타공인중개사(박정직),2000.0,50.0
3228631.0,010-6279-9950,서울특별시 강남구 대치동 891-26번지 아이빌멤버스 105호,HS강남공인중개사(김현수),1000.0,96.0
3505011.0,010-4520-0608,서울특별시 강남구 논현동 233-1,H공인중개사(김용만),15000.0,70.0
3249401.0,010-8886-5877,서울특별시 강남구 봉은사로25길 13 1층(논현동),도원공인중개사(손석진),65.0,65.0
3330951.0,010-9905-4979,서울특별시 강남구 역삼로17길 9,강남우리공인중개사(어정화),2000.0,150.0
3494055.0,010-6271-1877,"서울특별시 강남구 압구정로 2길 62, 1층 ",청록공인중개사(하순자),3000.0,60.0
3317227.0,010-3877-0714,서울특별시 강남구 역삼동 625-10 커피한잔부동산,커피한잔공인중개사(손별),500.0,67.0
3405679.0,010-8025-7008,서울특별시 강남구 삼성동 34-33,강남코리아공인중개사(기숙영),15000.0,60.0
3103384.0,010-3487-2672,서울특별시 강남구 논현1동 124-33,TODAY공인중개사(이인규),5000.0,50.0
3418616.0,010-7540-8818,서울특별시 강남구 역삼동 657-271층 101호,나무공인중개사(조민영),90.0,90.0
3456814.0,010-8574-7863,"서울특별시 서초구 강남대로 545-4 , 1층 (반포동)",한강공인중개사(김상헌),300.0,80.0
3181675.0,010-3487-2672,서울특별시 강남구 논현1동 124-33,TODAY공인중개사(이인규),5000.0,60.0
3309372.0,010-3015-2251,서울특별시 강남구 역삼동 696-10 1층,한백부동산공인중개사(김남조),75.0,75.0
3501566.0,010-3100-3561,서울특별시 강남구 삼성동 34-33,강남코리아공인중개사(기숙영),1000.0,65.0
3346510.0,010-8886-5877,서울특별시 강남구 봉은사로25길 13 1층(논현동),도원공인중개사(손석진),65.0,65.0
3406670.0,010-4780-3740,서울특별시 강남구 논현1동 124-33,TODAY공인중개사(이인규),1000.0,60.0
3493254.0,010-3539-9712,서울특별시 강남구 역삼동 682-20 431호,아셈타운공인중개사(임현옥),7000.0,100.0
3501607.0,010-3100-3561,서울특별시 강남구 삼성동 34-33,강남코리아공인중개사(기숙영),2000.0,63.0
3484623.0,010-2068-6634,서울특별시 강남구 논현동 116-3 ,웰컴공인중개사(이영진),1000.0,120.0
3190410.0,010-8456-3090,서울특별시 강남구 테헤란로14길 45 1층(역삼동),건우공인중개사(김상모),70.0,70.0
3350050.0,010-6573-9788,서울특별시 강남구 삼성동 34-25 1층 ,NB공인중개사(길주현),1000.0,70.0
3495453.0,010-8345-4383,서울특별시 강남구 역삼동 617-4,부동산네트워크공인중개사(황창문),8000.0,55.0
3446619.0,010-8886-5877,서울특별시 강남구 봉은사로25길 13 1층(논현동),도원공인중개사(손석진),68.0,68.0
3451078.0,010-8626-8554,"서울특별시 강남구 논현로 111길 14, 1층(논현동)",스타공인중개사(박정직),4000.0,40.0
3345445.0,010-4667-8638,"서울특별시 강남구 남부순환로 2917, 106호(대치동)",대청공인중개사(이선영),14000.0,70.0
3332380.0,010-3015-2251,서울특별시 강남구 역삼동 696-10 1층,한백부동산공인중개사(김남조),10000.0,100.0
3450803.0,010-8626-8554,"서울특별시 강남구 논현로 111길 14, 1층(논현동)",스타공인중개사(박정직),6000.0,50.0
3471049.0,010-4776-8102,서울특별시 강남구 봉은사로26길 30 1층(역삼동),정성공인중개사(정문식),100.0,100.0
3438747.0,010-4780-3740,서울특별시 강남구 논현1동 124-33,TODAY공인중개사(이인규),3000.0,100.0
3330749.0,010-4166-1970,서울특별시 강남구 논현동 108 웰스톤상가 B101,미래공인중개사(김유철),1000.0,85.0
3446920.0,010-3015-2251,서울특별시 강남구 역삼동 696-10 1층,한백부동산공인중개사(김남조),75.0,75.0
3501554.0,010-3100-3561,서울특별시 강남구 삼성동 34-33,강남코리아공인중개사(기숙영),1000.0,63.0
3435418.0,010-7777-4079,서울특별시 강남구 논현동 149-32 1F,친절한공인중개사(김천호),500.0,65.0
3501551.0,010-3100-3561,서울특별시 강남구 삼성동 34-33,강남코리아공인중개사(기숙영),3000.0,75.0
