,FID,title,description,category,price,length,rating,actors
0,1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,Documentary,0.99,86,PG,"PENELOPE GUINESS, CHRISTIAN GABLE, LUCILLE TRACY, SANDRA PECK, JOHNNY CAGE, MENA TEMPLE, WARREN NOLTE, OPRAH KILMER, ROCK DUKAKIS, MARY KEITEL"
1,2,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,Horror,4.99,48,G,"BOB FAWCETT, MINNIE ZELLWEGER, SEAN GUINESS, CHRIS DEPP"
2,3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,Documentary,2.99,50,NC-17,"NICK WAHLBERG, BOB FAWCETT, CAMERON STREEP, RAY JOHANSSON, JULIANNE DENCH"
3,4,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,Horror,2.99,117,G,"JODIE DEGENERES, SCARLETT DAMON, KENNETH PESCI, FAY WINSLET, OPRAH KILMER"
4,5,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,Family,2.99,130,G,"GARY PHOENIX, DUSTIN TAUTOU, MATTHEW LEIGH, MATTHEW CARREY, THORA TEMPLE"
5,6,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,Foreign,2.99,169,PG,"KIRSTEN PALTROW, SANDRA KILMER, JAYNE NEESON, WARREN NOLTE, MORGAN WILLIAMS, KENNETH HOFFMAN, REESE WEST"
6,7,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,Comedy,4.99,62,PG-13,"JIM MOSTEL, RICHARD PENN, OPRAH KILMER, MENA HOPPER, MICHAEL BOLGER"
7,8,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,Horror,4.99,54,R,"FAY KILMER, GENE WILLIS, SUSAN DAVIS, LUCILLE DEE"
8,9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,Horror,2.99,114,PG-13,"CHRISTIAN GABLE, ELVIS MARX, RIP CRAWFORD, MENA TEMPLE, RIP WINSLET, WARREN NOLTE, GRETA KEITEL, WILLIAM HACKMAN, MERYL ALLEN"
9,10,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,Sports,4.99,63,NC-17,"ALEC WAYNE, JUDY DEAN, VAL BOLGER, RAY JOHANSSON, RENEE TRACY, JADA RYDER, GRETA MALDEN, ROCK DUKAKIS"
10,11,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,Foreign,0.99,126,G,"JOHNNY CAGE, SCARLETT DAMON, SEAN GUINESS, MICHAEL BENING"
11,12,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,Music,0.99,136,PG,"VAL BOLGER, BURT POSEY, SIDNEY CROWE, SYLVESTER DERN, ALBERT JOHANSSON, GENE MCKELLEN, JEFF SILVERSTONE"
12,13,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,Horror,4.99,150,PG,"CARY MCCONAUGHEY, CHRISTOPHER BERRY, KENNETH TORN, MORGAN MCDORMAND, JON CHASE"
13,14,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,Classics,0.99,94,NC-17,"WOODY HOFFMAN, MINNIE ZELLWEGER, MORGAN WILLIAMS, ROCK DUKAKIS"
14,15,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,Foreign,2.99,46,NC-17,"BURT DUKAKIS, KENNETH PALTROW, SIDNEY CROWE, RENEE TRACY, HUMPHREY WILLIS, MENA HOPPER"
15,16,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,Foreign,2.99,180,NC-17,"KARL BERRY, JUDE CRUISE, ALBERT JOHANSSON, GREGORY GOODING, JOHN SUVARI"
16,17,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,Music,0.99,82,R,"ED CHASE, KARL BERRY, UMA WOOD, WOODY JOLIE, SPENCER DEPP, CHRIS DEPP, LAURENCE BULLOCK, RENEE BALL"
17,18,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,Animation,0.99,57,PG-13,"REESE KILMER, JADA RYDER, ANGELA WITHERSPOON, OPRAH KILMER"
18,19,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,Action,0.99,113,PG,"JOHNNY LOLLOBRIGIDA, JULIA MCQUEEN, VAL BOLGER, KIRK JOVOVICH, JAMES PITT, PENELOPE CRONYN"
19,20,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,Music,4.99,79,R,"CARMEN HUNT, WALTER TORN, ED MANSFIELD, EWAN GOODING, IAN TANDY, LAURA BRODY"
20,21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,Action,4.99,129,R,"KEVIN BLOOM, RIP CRAWFORD, SIDNEY CROWE, WARREN JACKMAN, FRANCES TOMEI"
21,22,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,New,2.99,85,G,"CARY MCCONAUGHEY, DARYL WAHLBERG, SALMA NOLTE, SCARLETT BENING"
22,23,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,Animation,0.99,92,R,"PENELOPE GUINESS, JENNIFER DAVIS, ELVIS MARX, JAYNE NOLTE, HUMPHREY WILLIS"
23,24,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,Horror,2.99,181,R,"TOM MCKELLEN, TOM MIRANDA, JESSICA BAILEY, GRETA MALDEN, ED GUINESS"
